session	gpu	model	seed	layer_index	split_mode	rank	all_pass	all_pass_alt_c2	all_pass_recovery_var	all_pass_v2	c1	c1_new_rank_recovery	c2	c2_alt	c2_var	c2_var_v2	c3	c3_v2	c4	rank_at_pos90	rank_budget_d_over_8	raw_pos_auc	raw_tok_top1	pos_spos_auc	pos_spos_perp_auc	pos_auc_recovery	tok_stok_top1	tok_stok_perp_top1	tok_top1_recovery	tok_spos_top1	pos_stok_auc	tok_energy_ratio	tok_energy_baseline	tok_energy_excess	c2_var_ratio	c2_var_threshold	c2_var_excess_floor	pos_drop_frac_v2	tok_drop_frac_v2	c3_v2_drop_fraction	principal_median_angle_deg	cross_projection_energy_normalized	position_raw_n_iter_max	position_raw_hit_max_iter	token_raw_n_iter_max	token_raw_hit_max_iter	position_raw_diag_backend	token_raw_diag_backend	position_raw_effective_lr	token_raw_effective_lr	probe_torch_scheduler	git_commit_hash	c2_var_v2_ratio_threshold	c2_var_v2_excess_floor	c3_v2_drop_fraction_cfg	holdout_source_label	corpus_holdout_dataset_name	source_manifest_hash	causal_pos_raw_on_spos_auc	causal_pos_raw_on_spos_perp_auc	causal_pos_raw_on_stok_auc	causal_tok_raw_on_stok_top1	causal_tok_raw_on_stok_perp_top1	causal_tok_raw_on_spos_top1	output_dir
	7	EleutherAI/pythia-160m-deduped	43	4	iid	32	0	0	0	0	0	1	0	0	0	0	0	0	1	8	96	0.7999321847186601	0.9949626922607422	0.7659458977554656	0.7234381955504721	0.9575135397569388	0.9824702739715576	0.9936529994010925	0.9874443349621488	0.7596212029457092	0.5761325576405476	0.0977357791807339	0.041666666666666664	0.05606911251406723	2.3456587003376135	3.0	0.05	0.7461674287740716	0.23746527370145054	0.25	83.87940979003906	0.17841420572840638	1500	0	750	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.7676487411264181	0.5239318675367062	0.5332433021034106	0.7300771726208467	0.7940115658183723	0.007697112575308791	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p160_s43_L4_iid
	5	EleutherAI/pythia-160m-deduped	44	4	iid	32	0	0	0	0	0	1	0	0	0	0	0	0	1	8	96	0.7949922984085318	0.9966753721237183	0.8236413689331566	0.6686397546144539	1.0360369158065763	0.982268750667572	0.9964738488197327	0.9855453221188274	0.7783598303794861	0.5645609321385132	0.10373731890644207	0.041666666666666664	0.062070652239775405	2.4896956537546098	3.0	0.05	0.7811436688794382	0.21990565266294193	0.25	83.46542358398438	0.18301904395616111	1350	0	750	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.7877650055920917	0.5270580693950427	0.5419344198468452	0.7127082955530033	0.8284269278043079	0.006427693485663624	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p160_s44_L4_iid
	7	EleutherAI/pythia-160m-deduped	45	4	iid	32	0	0	0	0	0	1	0	0	0	0	0	1	1	8	96	0.7800138550308452	0.9963731169700623	0.8224769700495637	0.7014482510410041	1.0544389240586494	0.9841829538345337	0.9953656792640686	0.9877654636321397	0.6846665143966675	0.5871288302958061	0.0998576680965927	0.041666666666666664	0.05819100142992604	2.396584034318225	3.0	0.05	0.6888410029346286	0.31407255289540803	0.25	83.42582702636719	0.20125996818400926	600	0	2000	1	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.8085384648306734	0.5337255834359088	0.5552551267111102	0.7502871305083721	0.8073303915049669	0.02452195289044712	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p160_s45_L4_iid
	6	EleutherAI/pythia-160m-deduped	46	4	iid	32	0	0	0	0	0	1	0	0	0	0	0	0	1	8	96	0.8006229990327137	0.9971790909767151	0.818482006014849	0.7257743473913284	1.0223063876552534	0.9855933785438538	0.995768666267395	0.9883815128719623	0.7608301043510437	0.5670923407364283	0.10005480165493989	0.041666666666666664	0.05838813498827323	2.4013152397185578	3.0	0.05	0.7768223291221729	0.2379497121790447	0.25	83.67814636230469	0.18181699476320617	1900	0	600	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.7690026927919615	0.5230050730838995	0.5404444621797769	0.7092828789618972	0.7408571601281508	0.033891474742590015	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p160_s46_L4_iid
	6	EleutherAI/pythia-160m-deduped	42	4	source_holdout	32	0	0	0	0	0	1	0	0	0	0	1	1	1	8	96	0.7973103022571368	0.9970918297767639	0.8082002910011384	0.7123969262395602	1.013658407163651	0.9835690259933472	0.9952379465103149	0.9864377548992209	0.7270348072052002	0.566003477009357	0.10701956476097362	0.041666666666666664	0.06535289809430694	2.568469554263367	3.0	0.05	0.7779980158498774	0.27190993110498424	0.25	83.93904113769531	0.15377891969516733	1150	0	850	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25	FineWeb-Edu		62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.7223848943143133	0.4811437883004124	0.5241619592487983	0.7383765313170235	0.8526300483478134	0.006943182231269766	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/B_p160_s42_L4_srcHoldout_FineWeb-Edu
	5	EleutherAI/pythia-160m-deduped	43	4	source_holdout	32	0	0	0	0	0	1	0	0	0	0	1	1	1	8	96	0.801196445299357	0.9972372651100159	0.7671322462486956	0.6794053336650512	0.957483337263268	0.9837507605552673	0.995165228843689	0.9864761325848962	0.7345959544181824	0.5818255108136712	0.1020748699588731	0.041666666666666664	0.06040820329220644	2.4497968790129545	3.0	0.05	0.7283317512849615	0.26440462111489066	0.25	84.0147933959961	0.16459584514521552	1500	0	750	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25	FineWeb-Edu		62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.7144220596292924	0.48192653293934795	0.5230342712258887	0.7249990912065142	0.8183503580646334	0.016503689701552218	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/B_p160_s43_L4_srcHoldout_FineWeb-Edu
	6	EleutherAI/pythia-160m-deduped	44	4	source_holdout	32	0	0	0	0	0	1	0	0	0	0	1	1	1	8	96	0.8021965969509598	0.997418999671936	0.8087778258110133	0.7199588861506337	1.0082040099460257	0.9856774210929871	0.995092511177063	0.9882280379832238	0.7358682751655579	0.5617427401441524	0.10991592811237207	0.041666666666666664	0.0682492614457054	2.6379822746969297	3.0	0.05	0.7956868450303167	0.26325854861222847	0.25	83.57543182373047	0.15839470556682278	1950	0	850	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25	FineWeb-Edu		62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.7147645000109359	0.4822535663668765	0.5299232830376764	0.7134028863281108	0.8249663746410266	0.009778617906866844	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/B_p160_s44_L4_srcHoldout_FineWeb-Edu
	7	EleutherAI/pythia-160m-deduped	42	4	source_holdout	32	0	0	0	0	0	1	0	0	0	0	1	1	1	8	96	0.7890493960220896	0.9783170819282532	0.8020374653060931	0.7079162634193144	1.0164604007676599	0.9517582654953003	0.9857786893844604	0.9728525475803758	0.6709515452384949	0.5667721773206595	0.1043929744600349	0.041666666666666664	0.06272630779336824	2.505431387040838	3.0	0.05	0.7689938874130817	0.3154373151635797	0.25	83.6600341796875	0.1684347170848454	1350	0	950	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25	Pile-CC		62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.7203324454192903	0.47206501355543734	0.5317109254473718	0.6970301418439716	0.7632609338061466	0.009345449172576832	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/B_p160_s42_L4_srcHoldout_Pile-CC
	6	EleutherAI/pythia-160m-deduped	43	4	source_holdout	32	0	0	0	0	0	1	0	0	0	0	1	1	1	8	96	0.7912229929130461	0.973847508430481	0.7605623930506926	0.7079291464593694	0.9612491040617129	0.9508348107337952	0.9753250479698181	0.9763693006374534	0.652482271194458	0.5748257570140433	0.10677852668544618	0.041666666666666664	0.06511186001877953	2.5626846404507084	3.0	0.05	0.7430637043264476	0.3313244327352802	0.25	83.45153045654297	0.17142575248311803	1600	0	600	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25	Pile-CC		62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.7162006469124151	0.4735452387871525	0.5250458866088793	0.6597222222222222	0.7594193262411347	0.010490543735224586	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/B_p160_s43_L4_srcHoldout_Pile-CC
	5	EleutherAI/pythia-160m-deduped	44	4	source_holdout	32	0	0	0	0	0	1	0	0	0	0	1	1	1	8	96	0.784731411112687	0.9673094153404236	0.7981500086608853	0.7016189727233453	1.0170996054932626	0.9563755989074707	0.9850768446922302	0.9886966711379471	0.6261081695556641	0.580329947046834	0.10365005897850439	0.041666666666666664	0.06198339231183773	2.4876014154841055	3.0	0.05	0.7178746569164363	0.35416247118535704	0.25	83.61190032958984	0.18263828932671372	1000	0	400	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25	Pile-CC		62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.7273816703229726	0.47279228380529265	0.5233075746205985	0.6901226359338062	0.7367390661938534	0.03383569739952719	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/B_p160_s44_L4_srcHoldout_Pile-CC
	5	EleutherAI/pythia-160m-deduped	42	4	source_holdout	32	0	0	0	0	0	1	0	1	0	0	0	1	1	8	96	0.6945994261713881	0.9305689334869385	0.7257885819111812	0.6246127779407055	1.044902363239352	0.860848605632782	0.8891996145248413	0.9250777397082157	0.33201542496681213	0.5419373878865398	0.09257020896684859	0.041666666666666664	0.050903542300181924	2.221685015204366	3.0	0.05	0.7844937741511911	0.6459238287958566	0.25	83.58468627929688	0.17422314418590734	1950	0	450	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25	Github		62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.6237977636951133	0.4885131996520947	0.5129592065330902	0.6034715525554484	0.4796528447444552	0.0018322082931533268	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/B_p160_s42_L4_srcHoldout_Github
	4	EleutherAI/pythia-160m-deduped	43	4	source_holdout	32	0	0	0	0	0	1	0	0	0	0	0	1	1	8	96	0.6936378839397533	0.9486017227172852	0.7227401042178135	0.6227959653435425	1.0419559267910286	0.88852459192276	0.9186595678329468	0.9366676979855854	0.3480713665485382	0.5274570250062494	0.09524799192641052	0.041666666666666664	0.05358132525974386	2.285951806233853	3.0	0.05	0.8582042705300783	0.6356867091163303	0.25	83.87020874023438	0.17818937336502502	1250	0	450	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25	Github		62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.6332236307356556	0.48071182898099524	0.5118226804200064	0.5588235294117647	0.504725168756027	0.014705882352941176	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/B_p160_s43_L4_srcHoldout_Github
